,Track,Explicit,Tpopularity,Artist,Album,Rdate
158,Soft,false,6,Tiny Bradshaw,"The Henry Glover Story, Vol. 2 1951-61",2012-11-12
159,Kansas City,false,6,Wilbert Harrison,Rockabilly Madness,2007-10-09
160,Castle Rock,false,5,Johnny Hodges,The Jazz Collection,2013-08-18
161,I Don't Hurt Anymore,false,5,Dinah Washington,Gold,2007-01-01
162,It Ain't The Meat,false,38,The Swallows,50s Doo Wop Essentials,2009-06-01
163,Don't Be Angry,false,39,Nappy Brown,Don't Be Angry (Savoy Singles 1954 - 1956),2012-02-25
164,Lovin' Machine - Remastered,false,39,Wynonie Harris,Essential Recordings (Remastered),2014-04-19
165,5-10-15 Hours,false,44,Ruth Brown,Ruth Brown,1957
166,See See Rider,false,47,LaVern Baker,Soul On Fire: The Best Of LaVern Baker,2005-03-22
167,Port Of Rico,false,5,Illinois Jacquet,Verve: The Sound Of America: The Singles Collection,2013-01-01
168,Bip Bam,false,5,The Drifters,Bip Bam,2013-11-15
169,How Many More Years,false,6,Howlin' Wolf,The Sun Years,2000-03-14
170,Pink Champagne - Single Version,false,5,Joe Liggins & The Honeydrippers,Specialty Profiles: Sam Cooke & The Soul Stirrers,2006-01-01
171,Hound Dog,false,39,Big Mama Thornton,Precious & Rare: Big Mama Thornton,2013-02-11
172,Good Rockin' Daddy,false,37,Etta James,Miss Etta James: The Complete Modern And Kent Recordings,2013-01-02
173,Rag Mop - Single Version,false,5,Lionel Hampton,"Jazz For Kids: Sing, Clap, Wiggle, And Shake",2004-01-01
174,"Easy, Easy Baby",false,5,Varetta Dillard,200 Blues Classics,2011-04-12
175,All Night Baby,false,36,The Robins,"I Must Be Dreamin' - The Robins on RCA, Crown and Spark",2011-02-07
176,Sh-Boom - Single Version,false,52,The Chords,Atlantic 60th: At The Hop,2007-10-30
177,Well All Right,false,5,Big Joe Turner,Big Joe Turner - Morning Glories,2013-02-06
178,Please Mr. Jailer,false,42,Wynona Carr,Jump Jack Jump!,1993-01-01
179,"Hey, Miss Fannie - 2007 Remastered Version",false,42,The Clovers,Down In The Alley: The Best Of The Clovers,1991
180,Deacon Rides Again,false,39,Big Jay McNeely,The Best Of (1948-1955),2010-12-01
181,Grandpa Can Boogie Too,false,5,Lil Greenwood,The Best of Rock & Roll (70 Rock & Roll Songs),2011-05-03
182,Safronia B,false,40,Calvin Boze,Jump Blue: Rockin' The Jukes,1998-01-01
183,I Want You,false,28,The Cadets,Keb Darge & Paul Weller present: Real R'n'B and Soul (Lost and Found 2),1960
184,Cross Road Blues,false,55,Robert Johnson,King Of The Delta Blues Singers,1937
185,Lost Your Head Blues,false,0,Bessie Smith,"Charlton: Experience Music, 3/E - Download Edition",2011
186,Three O'clock Blues,false,0,B.B. King,Blues Masters Vol. 3,2009-01-01
187,(I'm Your) Hoochie Coochie Man,false,19,Muddy Waters,His Best 1947 To 1956,1997-01-01
188,How Far Am I From Canaan?,false,19,Sam Cooke,Sam Cooke And The Soul Stirrers,1991-01-01
189,Oh Happy Day,false,52,The Edwin Hawkins Singers,Oh Happy Day: The Best Of The Edwin Hawkins Singers,2001
190,Sh-Boom,false,3,The Chords,Cars (Versión de Colección),2006-06-06
191,There Goes My Baby,false,0,The Drifters,Cruisin' To The Hits Of The '50s & '60s,2007-08-28
192,I'll Never Get Out Of This World Alive,false,0,Hank Williams,Hank Williams Selected Hits Vol. 2,2006
193,I Walk the Line,false,32,Johnny Cash,"Sun Records - 60 Years, 60 Singles Box Set",2012-07-31
194,"Shake, Rattle And Roll",false,51,Big Joe Turner,Shake Rattle & Rock,2007-10-30
195,Hound Dog,false,6,Big Mama Thornton,Rare Rock 'n Roll Essentials,2013-03-15
196,Summertime Blues,false,47,Eddie Cochran,The Best Of Eddie Cochran,1996-01-01
197,Peggy Sue,false,0,Buddy Holly,Schellackstars (Vol. 3),2008-12-01
198,School Day (Ring Ring Goes The Bell) - Single Version,false,28,Chuck Berry,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,1999-01-01
199,Tutti Frutti,false,0,Little Richard,His Very Best,2012-05-31
200,Venus,false,0,Frankie Avalon,Venus,2011-07-12
201,Be My Baby,false,72,The Ronettes,Be My Baby: The Very Best of The Ronettes,2011-02-22
202,Misirlou,false,47,Dick Dale and his Del-Tones,Greatest Hits 1961 - 1976,1992
203,What`d I Say (Part 1 & 2),false,0,Ray Charles,Tell All The World About You,2011-12-19
204,"Please, Please, Please",false,34,James Brown & The Famous Flames,20 All-Time Greatest Hits!,1991
205,Respect,false,73,Aretha Franklin,I Never Loved a Man the Way I Love You,1967-03-10
206,My Girl,false,48,The Temptations,Motown: The Complete No. 1's,2008-01-01
207,You Really Got Me,false,2,The Kinks,Come Dancing With The Kinks,1986
208,Louie Louie,false,67,The Kingsmen,The Best of The Kingsmen,2006-01-31
209,School's Out,false,66,Alice Cooper,School's Out,1972
210,You Really Got Me,false,10,Van Halen,Van Halen (Reissue),1978-02-07
211,Money - 2011 Remastered Version,false,18,Pink Floyd,The Dark Side Of The Moon (2011 Remastered Version),1973-03-16
212,Concrete Jungle,false,0,The Specials,Original John Peel Session: 23rd May 1979,2008-11-28
213,Rapper's Delight,false,57,The Sugarhill Gang,Rhino Hi-Five: The Sugarhill Gang,2005-03-15
214,Sissy That Walk,false,67,RuPaul,Born Naked,2014-02-24
215,Call Me Mother,true,64,RuPaul,American,2017-03-24
216,"Kitty Girl (feat. The Cast of Rupaul's Drag Race All Stars, Season 3)",false,63,RuPaul,"Kitty Girl (feat. The Cast of Rupaul's Drag Race All Stars, Season 3)",2018-03-16
217,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]",true,61,RuPaul,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]",2016-10-12
218,Adrenaline (feat. Myah Marie),false,60,RuPaul,Born Naked,2014-02-24
219,Freaky Money (feat. Big Freedia),false,50,RuPaul,Born Naked,2014-02-24
220,Dance with U,false,42,RuPaul,Born Naked,2014-02-24
221,Can I Get an Amen (feat. Martha Wash),false,36,RuPaul,Born Naked,2014-02-24
222,Fly Tonight (feat. Frankmusik),false,36,RuPaul,Born Naked,2014-02-24
223,Born Naked (feat. Clairy Browne),false,52,RuPaul,Born Naked,2014-02-24
224,Let the Music Play (feat. Michelle Visage),false,37,RuPaul,Born Naked,2014-02-24
225,Modern Love,false,34,RuPaul,Born Naked,2014-02-24
226,Crying On The Dance Floor,false,43,RuPaul,"Essential, Vol. 2",2017-06-09
227,Cover Girl (YLXR Remix),false,34,RuPaul,"Essential, Vol. 2",2017-06-09
228,Glamazon,false,43,RuPaul,"Essential, Vol. 2",2017-06-09
229,I Bring The Beat,false,38,RuPaul,"Essential, Vol. 2",2017-06-09
230,Jealous Of My Boogie (Gomi & RasJek),false,43,RuPaul,"Essential, Vol. 2",2017-06-09
231,Peanut Butter (feat. Big Freedia),false,44,RuPaul,"Essential, Vol. 2",2017-06-09
232,Sexy Drag Queen (dootdoot 'doot-swift' remix),false,47,RuPaul,"Essential, Vol. 2",2017-06-09
233,The Beginning,false,40,RuPaul,"Essential, Vol. 2",2017-06-09
234,Tranny Chaser,false,33,RuPaul,"Essential, Vol. 2",2017-06-09
